HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0001518	OG0001469	-	WP_038674494.1	WP_041785314.1	WP_154804085.1
N0.HOG0001519	OG0001470	-	WP_038674497.1	WP_012678408.1	WP_012678408.1
N0.HOG0001520	OG0001471	-	WP_038674501.1	WP_038674501.1	WP_172954519.1
N0.HOG0001521	OG0001472	-	WP_038674505.1	WP_043983775.1	WP_172954520.1
N0.HOG0001522	OG0001473	-	WP_038674514.1	WP_012678440.1	WP_012678440.1
N0.HOG0001523	OG0001474	-	WP_038674519.1	WP_206156402.1	WP_038674519.1
N0.HOG0001524	OG0001475	-	WP_038674522.1	WP_206156405.1	WP_037580139.1
N0.HOG0001525	OG0001476	-	WP_038674526.1	WP_154804109.1	WP_154804109.1
N0.HOG0001526	OG0001477	-	WP_038674528.1	WP_037580194.1	WP_043029378.1
N0.HOG0001527	OG0001478	-	WP_038674530.1	WP_115250614.1	WP_154804113.1
N0.HOG0001528	OG0001479	-	WP_038674531.1	WP_115250613.1	WP_154804114.1
N0.HOG0001529	OG0001480	-	WP_038674534.1	WP_115250610.1	WP_154804118.1
N0.HOG0001530	OG0001481	-	WP_038674536.1	WP_115250608.1	WP_154804119.1
N0.HOG0001531	OG0001482	-	WP_038674542.1	WP_115250602.1	WP_154804122.1
N0.HOG0001532	OG0001483	-	WP_038674544.1	WP_111710310.1	WP_043025214.1
N0.HOG0001533	OG0001484	-	WP_038674547.1	WP_038674547.1	WP_154804125.1
N0.HOG0001534	OG0001485	-	WP_038674555.1	WP_200831602.1	WP_172954541.1
N0.HOG0001535	OG0001486	-	WP_038674558.1	WP_115250593.1	WP_111710298.1
N0.HOG0001536	OG0001487	-	WP_038674560.1	WP_115251467.1	WP_154804414.1
N0.HOG0001537	OG0001488	-	WP_038674564.1	WP_037580303.1	WP_111677738.1
N0.HOG0001538	OG0001489	-	WP_038674568.1	WP_115250589.1	WP_037580305.1
N0.HOG0001539	OG0001490	-	WP_038674571.1	WP_115250581.1	WP_154804137.1
N0.HOG0001540	OG0001491	-	WP_038674573.1	WP_115250575.1	WP_154804140.1
N0.HOG0001541	OG0001492	-	WP_038674578.1	WP_126436299.1	WP_154804146.1
N0.HOG0001542	OG0001493	-	WP_038674592.1	WP_206158942.1	WP_037580456.1
N0.HOG0001543	OG0001494	-	WP_038674595.1	WP_206159071.1	WP_154804178.1
N0.HOG0001544	OG0001495	-	WP_038674601.1	WP_206158934.1	WP_012677305.1
N0.HOG0001545	OG0001496	-	WP_038674604.1	WP_206158927.1	WP_154804418.1
N0.HOG0001546	OG0001497	-	WP_038674608.1	WP_206158924.1	WP_154804199.1
N0.HOG0001547	OG0001498	-	WP_038674610.1	WP_206158923.1	WP_232013888.1
N0.HOG0001548	OG0001499	-	WP_038674622.1	WP_206158908.1	WP_042669843.1
N0.HOG0001549	OG0001500	-	WP_038674626.1	WP_206158897.1	WP_154804229.1
N0.HOG0001550	OG0001501	-	WP_038674630.1	WP_206158894.1	WP_154804232.1
N0.HOG0001551	OG0001502	-	WP_038674642.1	WP_206158886.1	WP_042669797.1
N0.HOG0001552	OG0001503	-	WP_038674647.1	WP_206158879.1	WP_012514750.1
N0.HOG0001553	OG0001504	-	WP_038674659.1	WP_206158871.1	WP_043039910.1
N0.HOG0001554	OG0001505	-	WP_038674662.1	WP_206158868.1	WP_043039889.1
N0.HOG0001555	OG0001506	-	WP_038674668.1	WP_206158858.1	WP_154804255.1
N0.HOG0001556	OG0001507	-	WP_038674671.1	WP_012677181.1	WP_012677181.1
N0.HOG0001557	OG0001508	-	WP_038674675.1	WP_111710909.1	WP_111692886.1
N0.HOG0001558	OG0001509	-	WP_038674677.1	WP_206158823.1	WP_154804275.1
N0.HOG0001559	OG0001510	-	WP_038674686.1	WP_206159093.1	WP_154804295.1
N0.HOG0001560	OG0001511	-	WP_038674690.1	WP_206158791.1	WP_043026779.1
N0.HOG0001561	OG0001512	-	WP_038674692.1	WP_206158789.1	WP_021321222.1
N0.HOG0001562	OG0001513	-	WP_038674700.1	WP_249093245.1	WP_012678663.1
N0.HOG0001563	OG0001514	-	WP_038674702.1	WP_206158766.1	WP_015898638.1
N0.HOG0001564	OG0001515	-	WP_038674707.1	WP_228269178.1, WP_228294482.1	
N0.HOG0001565	OG0001516	-	WP_038674709.1	WP_154804316.1	WP_154804316.1
N0.HOG0001566	OG0001517	-	WP_038674711.1	WP_196819689.1	WP_021321183.1
N0.HOG0001567	OG0001518	-	WP_038674718.1	WP_206158761.1	WP_043030195.1
N0.HOG0001568	OG0001519	-	WP_038674720.1	WP_206158760.1	WP_154804322.1
N0.HOG0001569	OG0001520	-	WP_038674722.1	WP_206158757.1	WP_154804324.1
N0.HOG0001570	OG0001521	-	WP_038674724.1	WP_206158752.1	WP_111690450.1
N0.HOG0001571	OG0001522	-	WP_038674726.1	WP_206159091.1	WP_154804423.1
N0.HOG0001572	OG0001523	-	WP_038674728.1	WP_111678623.1	WP_154804333.1
N0.HOG0001573	OG0001524	-	WP_038674730.1	WP_111678621.1	WP_154804335.1
N0.HOG0001574	OG0001525	-	WP_038674741.1, WP_041788190.1		WP_154803694.1
N0.HOG0001575	OG0001526	-	WP_038674746.1	WP_206159089.1	WP_012680099.1
N0.HOG0001576	OG0001527	-	WP_038674750.1	WP_043031370.1	WP_037579965.1
N0.HOG0001577	OG0001528	-	WP_038674752.1	WP_043041044.1	WP_154803590.1
N0.HOG0001578	OG0001529	-	WP_038674756.1	WP_206158711.1	WP_111710948.1
N0.HOG0001579	OG0001530	-	WP_038674761.1	WP_037579167.1	WP_038674761.1
N0.HOG0001580	OG0001531	-	WP_038674775.1	WP_111710704.1	WP_154804377.1
N0.HOG0001581	OG0001532	-	WP_038674779.1	WP_138119591.1	WP_043029953.1
N0.HOG0001582	OG0001533	-	WP_038674782.1	WP_038674782.1	WP_042671147.1
N0.HOG0001583	OG0001534	-	WP_038674792.1	WP_041790684.1	WP_043983388.1
N0.HOG0001584	OG0001535	-	WP_038674795.1	WP_111678845.1	WP_154803770.1
N0.HOG0001585	OG0001536	-	WP_038674798.1	WP_206152555.1	WP_111710936.1
N0.HOG0001586	OG0001537	-	WP_038674800.1	WP_206152556.1	WP_172954532.1
N0.HOG0001587	OG0001538	-	WP_038674810.1	WP_206152557.1	WP_043030859.1
N0.HOG0001588	OG0001539	-	WP_038674812.1	WP_126436739.1	WP_038674812.1
N0.HOG0001589	OG0001540	-	WP_038674825.1	WP_206159080.1	WP_172954513.1
N0.HOG0001590	OG0001541	-	WP_038674827.1	WP_037578679.1	WP_154803935.1
N0.HOG0001591	OG0001542	-	WP_038674831.1	WP_041785395.1	WP_154803958.1
N0.HOG0001592	OG0001543	-	WP_038674835.1	WP_111690554.1	WP_038674835.1
N0.HOG0001593	OG0001544	-	WP_038674841.1	WP_172954538.1	WP_172954538.1
N0.HOG0001594	OG0001545	-	WP_038674844.1	WP_247874349.1	WP_154804036.1
N0.HOG0001595	OG0001546	-	WP_038674846.1	WP_037584068.1	WP_172954517.1
N0.HOG0001596	OG0001547	-	WP_038674866.1	WP_206158937.1	WP_037580505.1
N0.HOG0001597	OG0001548	-	WP_038674871.1	WP_037580510.1	WP_043030401.1
N0.HOG0001598	OG0001549	-	WP_038674883.1	WP_115251456.1	WP_154804257.1
N0.HOG0001599	OG0001550	-	WP_041788096.1	WP_206158891.1	WP_021320253.1
N0.HOG0001600	OG0001551	-	WP_041788108.1	WP_206159069.1	WP_165623420.1
N0.HOG0001601	OG0001552	-	WP_041788189.1		WP_154803693.1, WP_154803715.1
N0.HOG0001602	OG0001553	-	WP_041788229.1	WP_206159011.1	WP_154803930.1
N0.HOG0001603	OG0001554	-	WP_041790372.1	WP_041785612.1	WP_021320970.1
N0.HOG0001604	OG0001555	-	WP_042670147.1	WP_042670147.1	WP_042670147.1
N0.HOG0001605	OG0001556	-	WP_043029384.1	WP_196820084.1	WP_172954521.1
N0.HOG0001606	OG0001557	-	WP_049780478.1	WP_206158895.1	WP_172954522.1
N0.HOG0001607	OG0001558	-	WP_049780494.1	WP_249093370.1	WP_232013957.1
N0.HOG0001608	OG0001559	-	WP_049780507.1	WP_012677828.1	WP_021320857.1
N0.HOG0001609	OG0001560	-	WP_049780510.1	WP_043029841.1	WP_043029841.1
N0.HOG0001610	OG0001561	-	WP_049780535.1	WP_206156917.1	WP_172954539.1
N0.HOG0001611	OG0001562	-	WP_049780541.1	WP_049752574.1	WP_043053223.1
N0.HOG0001612	OG0001563	-	WP_051488376.1	WP_231196106.1	WP_049963507.1
N0.HOG0001613	OG0001564	-	WP_064484007.1	WP_064484007.1	WP_021320912.1
N0.HOG0001614	OG0001565	-	WP_064484008.1	WP_080280804.1	WP_024273194.1
N0.HOG0001615	OG0001566	-	WP_080004972.1	WP_206158926.1	WP_154804197.1
N0.HOG0001616	OG0001567	-	WP_080004976.1	WP_206159062.1	WP_154803875.1
N0.HOG0001617	OG0001568	-	WP_080004986.1	WP_206158815.1	WP_232013906.1
N0.HOG0001618	OG0001569	-	WP_111692358.1	WP_115266987.1	WP_111692358.1
N0.HOG0001619	OG0001570	-	WP_115267301.1	WP_111689996.1	WP_012678193.1
N0.HOG0001620	OG0001571	-	WP_148255835.1	WP_206156345.1	WP_172453602.1
N0.HOG0001621	OG0001572	-	WP_148255839.1	WP_206159016.1	WP_024273168.1
N0.HOG0001622	OG0001573	-	WP_154224859.1	WP_206158666.1	WP_154803809.1
N0.HOG0001623	OG0001574	-	WP_154224860.1	WP_206158617.1	WP_154803862.1
N0.HOG0001624	OG0001575	-	WP_154224864.1	WP_196819692.1	WP_154804315.1
N0.HOG0001625	OG0001576	-	WP_154293410.1	WP_249093334.1	WP_154804128.1
N0.HOG0001626	OG0001577	-	WP_154293412.1	WP_012678467.1	WP_154804107.1
N0.HOG0001627	OG0001578	-	WP_154293417.1	WP_206158981.1	WP_154804038.1
N0.HOG0001628	OG0001579	-	WP_154293418.1	WP_206156347.1	WP_154804033.1
N0.HOG0001629	OG0001580	-	WP_154293419.1	WP_042670316.1	WP_042670316.1
N0.HOG0001630	OG0001581	-	WP_154293437.1	WP_206159013.1	WP_154803927.1
N0.HOG0001631	OG0001582	-	WP_154293438.1	WP_206159026.1	WP_012678073.1
N0.HOG0001632	OG0001583	-	WP_154293439.1	WP_249093392.1	WP_154803912.1
N0.HOG0001633	OG0001584	-	WP_154293440.1	WP_206158627.1	WP_154803850.1
N0.HOG0001634	OG0001585	-	WP_154293441.1	WP_037581193.1	WP_012677961.1
N0.HOG0001635	OG0001586	-	WP_154293442.1	WP_037581040.1	WP_037581040.1
N0.HOG0001636	OG0001587	-	WP_154293445.1	WP_038674217.1	WP_038674217.1
N0.HOG0001637	OG0001588	-	WP_154293446.1	WP_206152453.1	WP_043983344.1
N0.HOG0001638	OG0001589	-	WP_154293447.1	WP_043039118.1	WP_154803747.1
N0.HOG0001639	OG0001590	-	WP_154293450.1	WP_037579231.1	WP_228274124.1
N0.HOG0001640	OG0001591	-	WP_154293452.1	WP_111678556.1	WP_154804366.1
N0.HOG0001641	OG0001592	-	WP_154293453.1	WP_206158764.1	WP_154804320.1
N0.HOG0001642	OG0001593	-	WP_154293454.1	WP_115251410.1	WP_154804297.1
N0.HOG0001643	OG0001594	-	WP_154293457.1	WP_111678857.1	WP_154803605.1
N0.HOG0001644	OG0001595	-	WP_161572738.1	WP_200831632.1	WP_154804206.1
N0.HOG0001645	OG0001596	-	WP_161572742.1	WP_021320860.1	WP_172954509.1
N0.HOG0001646	OG0001597	-	WP_165620296.1	WP_206159020.1	WP_154803922.1
N0.HOG0001647	OG0001598	-	WP_165620702.1	WP_206159083.1	WP_172954535.1
N0.HOG0001648	OG0001599	-	WP_169724971.1		WP_228275438.1, WP_227687800.1
N0.HOG0001649	OG0001600	-	WP_169724973.1	WP_196820070.1	WP_043040529.1
N0.HOG0001650	OG0001601	-	WP_169724978.1	WP_206158746.1	WP_172954530.1
N0.HOG0001651	OG0001602	-	WP_169724979.1	WP_206158732.1	WP_172453605.1
N0.HOG0001652	OG0001603	-	WP_169724988.1	WP_169724988.1	WP_172454104.1
N0.HOG0001653	OG0001604	-	WP_192884538.1	WP_043039120.1	WP_197718039.1
N0.HOG0001654	OG0001605	-	WP_196820072.1	WP_196820072.1	WP_196820072.1
N0.HOG0001655	OG0001606	-	WP_202619040.1	WP_231191903.1	WP_232013915.1
N0.HOG0001656	OG0001607	-	WP_207618773.1	WP_229297295.1	WP_231872387.1
N0.HOG0001657	OG0001608	-	WP_227687744.1	WP_249093389.1	WP_165626699.1
N0.HOG0001658	OG0001609	-	WP_227687749.1	WP_206158969.1	WP_232013878.1
N0.HOG0001659	OG0001610	-	WP_228269579.1	WP_111692456.1	WP_012677955.1
N0.HOG0001660	OG0001611	-	WP_228269584.1	WP_228294441.1	WP_228294441.1
N0.HOG0001661	OG0001612	-	WP_228269595.1	WP_111678856.1	WP_228274379.1
N0.HOG0001662	OG0001613	-	WP_228269596.1	WP_249093184.1	WP_232013918.1
N0.HOG0001663	OG0001614	-	WP_228269597.1	WP_249093229.1	WP_232013914.1
N0.HOG0001664	OG0001615	-	WP_228269598.1	WP_206158805.1	WP_231187975.1
N0.HOG0001665	OG0001616	-	WP_228269599.1	WP_249093250.1	WP_232013904.1
N0.HOG0001666	OG0001617	-	WP_228269600.1	WP_249093255.1	WP_232013903.1
N0.HOG0001667	OG0001618	-	WP_228269604.1	WP_234991596.1	WP_232013879.1
N0.HOG0001668	OG0001619	-	WP_228269605.1	WP_231191928.1	WP_231147393.1
N0.HOG0001669	OG0001620	-	WP_228269608.1	WP_230923370.1	WP_230923250.1
N0.HOG0001670	OG0001621	-	WP_228269609.1	WP_231154620.1	WP_231147402.1
N0.HOG0001671	OG0001622	-	WP_228269612.1	WP_249093356.1	WP_231144810.1
N0.HOG0001672	OG0001623	-	WP_228269613.1	WP_228269162.1	WP_232013865.1
N0.HOG0001673	OG0001624	-	WP_228269616.1	WP_043030657.1	WP_012515365.1
N0.HOG0001674	OG0001625	-	WP_228269617.1	WP_282957534.1	WP_154804396.1
N0.HOG0001675	OG0001626	-	WP_228269618.1	WP_249093266.1	WP_232013965.1
N0.HOG0001676	OG0001627	-	WP_228269621.1	WP_043039170.1	WP_043039170.1
N0.HOG0001677	OG0001628	-	WP_228269625.1	WP_227687753.1	WP_232013968.1
N0.HOG0001678	OG0001629	-	WP_228274948.1	WP_231191982.1	WP_012680045.1
N0.HOG0001679	OG0001630	-	WP_229296625.1	WP_229296625.1	WP_229296625.1
N0.HOG0001680	OG0001631	-	WP_229297585.1	WP_206158742.1	WP_154804345.1
N0.HOG0001681	OG0001632	-	WP_255313996.1	WP_012515880.1	WP_165623274.1
N0.HOG0001682	OG0001633	-	WP_266095217.1	WP_268810509.1	WP_043030874.1
N0.HOG0001683	OG0001634	-		WP_000692257.1	WP_043039192.1, WP_000692257.1
N0.HOG0001684	OG0001635	-		WP_037582370.1	WP_154803671.1, WP_037582370.1
N0.HOG0001685	OG0001636	-		WP_043029553.1	WP_043040834.1, WP_043029553.1
N0.HOG0001686	OG0001637	-		WP_043053154.1	WP_154803810.1, WP_043039278.1
N0.HOG0001687	OG0001638	-		WP_111710231.1	WP_154804163.1, WP_154803569.1
N0.HOG0001688	OG0001639	-		WP_138119187.1	WP_021320633.1, WP_138119187.1
N0.HOG0001689	OG0001640	-		WP_138119189.1	WP_154803941.1, WP_138119189.1
N0.HOG0001690	OG0001641	-			WP_115266875.1, WP_154804218.1, WP_154803726.1
N0.HOG0001691	OG0001642	-	WP_000105206.1		WP_154803684.1
N0.HOG0001692	OG0001643	-	WP_000166942.1		WP_000166944.1
N0.HOG0001693	OG0001644	-	WP_000182253.1		WP_154803682.1
N0.HOG0001694	OG0001645	-	WP_000290864.1		WP_154803699.1
N0.HOG0001695	OG0001646	-	WP_000447009.1		WP_043039297.1
N0.HOG0001696	OG0001647	-	WP_014622884.1, WP_000699094.1		
N0.HOG0001697	OG0001648	-	WP_012515451.1		WP_012515451.1
N0.HOG0001698	OG0001649	-	WP_012515593.1		WP_012515593.1
N0.HOG0001699	OG0001650	-	WP_012515596.1		WP_043038961.1
N0.HOG0001700	OG0001651	-	WP_012677981.1		WP_154803855.1
N0.HOG0001701	OG0001652	-	WP_012678093.1		WP_012678093.1
N0.HOG0001702	OG0001653	-	WP_012679509.1		WP_012679509.1
N0.HOG0001703	OG0001654	-	WP_012679835.1	WP_012679835.1	
N0.HOG0001704	OG0001655	-	WP_014622135.1		WP_232013894.1
N0.HOG0001705	OG0001656	-	WP_014622164.1	WP_206158915.1	
N0.HOG0001706	OG0001657	-	WP_014622166.1	WP_206158916.1	
N0.HOG0001707	OG0001658	-	WP_014622167.1	WP_012678903.1	
N0.HOG0001708	OG0001659	-	WP_014622170.1	WP_043983904.1	
N0.HOG0001709	OG0001660	-	WP_014622323.1		WP_042670070.1
N0.HOG0001710	OG0001661	-	WP_014623143.1, WP_014622461.1		
N0.HOG0001711	OG0001662	-	WP_014623140.1, WP_014622467.1		
N0.HOG0001712	OG0001663	-	WP_014622469.1		WP_154804059.1
N0.HOG0001713	OG0001664	-	WP_014622472.1		WP_154804058.1
N0.HOG0001714	OG0001665	-	WP_014622473.1		WP_154804057.1
N0.HOG0001715	OG0001666	-	WP_014622474.1		WP_154804056.1
N0.HOG0001716	OG0001667	-	WP_014622475.1		WP_154804055.1
N0.HOG0001717	OG0001668	-	WP_014622476.1		WP_154804054.1
N0.HOG0001718	OG0001669	-	WP_014622606.1		WP_154803686.1
N0.HOG0001719	OG0001670	-	WP_014622610.1		WP_154803689.1
N0.HOG0001720	OG0001671	-	WP_014622612.1		WP_154803692.1
N0.HOG0001721	OG0001672	-	WP_014622615.1		WP_154803700.1
N0.HOG0001722	OG0001673	-	WP_014622620.1		WP_154803703.1
N0.HOG0001723	OG0001674	-	WP_014622621.1		WP_154803704.1
N0.HOG0001724	OG0001675	-	WP_014622622.1		WP_154803705.1
N0.HOG0001725	OG0001676	-	WP_014622623.1		WP_154803706.1
N0.HOG0001726	OG0001677	-	WP_014622624.1		WP_154803707.1
N0.HOG0001727	OG0001678	-	WP_014622625.1		WP_154803708.1
N0.HOG0001728	OG0001679	-	WP_014622626.1		WP_018374763.1
N0.HOG0001729	OG0001680	-	WP_014622629.1		WP_154803710.1
N0.HOG0001730	OG0001681	-	WP_014622633.1		WP_000661351.1
N0.HOG0001731	OG0001682	-	WP_014622634.1		WP_154803714.1
N0.HOG0001732	OG0001683	-	WP_014622638.1		WP_014622638.1
N0.HOG0001733	OG0001684	-	WP_014622739.1		WP_012678094.1
N0.HOG0001734	OG0001685	-	WP_014622780.1		WP_014622780.1
N0.HOG0001735	OG0001686	-	WP_021320710.1, WP_014622820.1		
N0.HOG0001736	OG0001687	-	WP_014622843.1		WP_012677982.1
N0.HOG0001737	OG0001688	-	WP_014622844.1		WP_154803854.1
N0.HOG0001738	OG0001689	-	WP_014622845.1		WP_154803853.1
N0.HOG0001739	OG0001690	-	WP_014622865.1		WP_012677954.1
N0.HOG0001740	OG0001691	-	WP_014622903.1	WP_206158650.1	
N0.HOG0001741	OG0001692	-	WP_014622958.1		WP_154803816.1
N0.HOG0001742	OG0001693	-	WP_014622960.1		WP_014622960.1
N0.HOG0001743	OG0001694	-	WP_014622961.1		WP_228275411.1
N0.HOG0001744	OG0001695	-	WP_014622970.1		WP_172954510.1
N0.HOG0001745	OG0001696	-	WP_014623176.1	WP_043039164.1	
N0.HOG0001746	OG0001697	-	WP_014623210.1	WP_206158695.1	
N0.HOG0001747	OG0001698	-	WP_014623249.1	WP_021320592.1	
N0.HOG0001748	OG0001699	-	WP_014623267.1		WP_154803976.1
N0.HOG0001749	OG0001700	-	WP_014623268.1		WP_024405113.1
N0.HOG0001750	OG0001701	-	WP_014623273.1		WP_111693171.1
N0.HOG0001751	OG0001702	-	WP_014623335.1		WP_043053342.1
N0.HOG0001752	OG0001703	-	WP_014623483.1		WP_229297454.1
N0.HOG0001753	OG0001704	-	WP_014623487.1		WP_043039286.1
N0.HOG0001754	OG0001705	-	WP_014623505.1		WP_024396470.1
N0.HOG0001755	OG0001706	-	WP_014623623.1		WP_232013908.1
N0.HOG0001756	OG0001707	-	WP_017648311.1		WP_172954504.1
N0.HOG0001757	OG0001708	-	WP_021320278.1	WP_042669851.1	
N0.HOG0001758	OG0001709	-	WP_021320657.1		WP_021320657.1
N0.HOG0001759	OG0001710	-	WP_021320784.1	WP_021320784.1	
N0.HOG0001760	OG0001711	-	WP_037582122.1		WP_229297456.1
N0.HOG0001761	OG0001712	-	WP_038673954.1		WP_043039298.1
N0.HOG0001762	OG0001713	-	WP_038673967.1		WP_154803568.1
N0.HOG0001763	OG0001714	-	WP_038673973.1		WP_154803571.1
N0.HOG0001764	OG0001715	-	WP_038674097.1		WP_041790765.1
N0.HOG0001765	OG0001716	-	WP_038674106.1		WP_154803563.1
N0.HOG0001766	OG0001717	-	WP_038674172.1	WP_206152449.1	
N0.HOG0001767	OG0001718	-	WP_038674209.1	WP_196819650.1	
N0.HOG0001768	OG0001719	-	WP_038674404.1		WP_043052922.1
N0.HOG0001769	OG0001720	-	WP_038674407.1		WP_043052921.1
N0.HOG0001770	OG0001721	-	WP_038674470.1		WP_172954518.1
N0.HOG0001771	OG0001722	-	WP_038674616.1	WP_206158917.1	
N0.HOG0001772	OG0001723	-	WP_038674618.1	WP_111692112.1	
N0.HOG0001773	OG0001724	-	WP_038674628.1		WP_038674628.1
N0.HOG0001774	OG0001725	-	WP_038674780.1	WP_206158692.1	
N0.HOG0001775	OG0001726	-	WP_148255836.1, WP_041788148.1		
N0.HOG0001776	OG0001727	-	WP_041788158.1		WP_232013923.1
N0.HOG0001777	OG0001728	-	WP_041788174.1		WP_154803685.1
N0.HOG0001778	OG0001729	-	WP_041788176.1		WP_154803687.1
N0.HOG0001779	OG0001730	-	WP_041788179.1		WP_154803688.1
N0.HOG0001780	OG0001731	-	WP_041788184.1		WP_154803690.1
N0.HOG0001781	OG0001732	-	WP_041788187.1		WP_154803691.1
N0.HOG0001782	OG0001733	-	WP_041788197.1		WP_154803702.1
N0.HOG0001783	OG0001734	-	WP_041788199.1		WP_154803709.1
N0.HOG0001784	OG0001735	-	WP_041788206.1		WP_154803711.1
N0.HOG0001785	OG0001736	-	WP_041788208.1		WP_154803712.1
N0.HOG0001786	OG0001737	-	WP_080004977.1		WP_012515598.1
N0.HOG0001787	OG0001738	-	WP_080004985.1		WP_012516109.1
N0.HOG0001788	OG0001739	-	WP_154224857.1		WP_012516016.1
N0.HOG0001789	OG0001740	-	WP_154235436.1	WP_172452926.1	
N0.HOG0001790	OG0001741	-	WP_154293451.1	WP_154293451.1	
N0.HOG0001791	OG0001742	-	WP_228269606.1	WP_206156407.1	
N0.HOG0001792	OG0001743	-		WP_000069811.1	WP_000069811.1
N0.HOG0001793	OG0001744	-		WP_000394022.1	WP_000394208.1
N0.HOG0001794	OG0001745	-		WP_000655412.1	WP_000655412.1
N0.HOG0001795	OG0001746	-		WP_000711921.1	WP_154803994.1
N0.HOG0001796	OG0001747	-		WP_000978200.1	WP_154804156.1
N0.HOG0001797	OG0001748	-		WP_001199271.1	WP_001199271.1
N0.HOG0001798	OG0001749	-		WP_001208031.1	WP_001208031.1
N0.HOG0001799	OG0001750	-		WP_001287945.1	WP_001287945.1
N0.HOG0001800	OG0001751	-		WP_009643971.1	WP_012678192.1
N0.HOG0001801	OG0001752	-		WP_012514891.1	WP_012514891.1
N0.HOG0001802	OG0001753	-		WP_012514892.1	WP_012514892.1
N0.HOG0001803	OG0001754	-		WP_012514894.1	WP_012514894.1
N0.HOG0001804	OG0001755	-		WP_012515807.1	WP_012515807.1
N0.HOG0001805	OG0001756	-		WP_012516482.1	WP_154804277.1
N0.HOG0001806	OG0001757	-		WP_012678838.1	WP_154803900.1
N0.HOG0001807	OG0001758	-		WP_015057291.1, WP_196819752.1	
N0.HOG0001808	OG0001759	-		WP_015057292.1, WP_196819753.1	
N0.HOG0001809	OG0001760	-		WP_018378865.1	WP_154804344.1
N0.HOG0001810	OG0001761	-		WP_021320323.1	WP_021320323.1
N0.HOG0001811	OG0001762	-		WP_021320325.1	WP_021320325.1
N0.HOG0001812	OG0001763	-		WP_021320876.1	WP_021320876.1
N0.HOG0001813	OG0001764	-		WP_024379186.1	WP_001100856.1
N0.HOG0001814	OG0001765	-		WP_027970814.1	WP_027970814.1
N0.HOG0001815	OG0001766	-		WP_027970824.1	WP_027970824.1
N0.HOG0001816	OG0001767	-		WP_027970832.1	WP_111721620.1
N0.HOG0001817	OG0001768	-		WP_037583999.1	WP_024273125.1
N0.HOG0001818	OG0001769	-		WP_041785397.1	WP_012678141.1
N0.HOG0001819	OG0001770	-		WP_042671458.1	WP_154804291.1
N0.HOG0001820	OG0001771	-		WP_043026593.1	WP_043026593.1
N0.HOG0001821	OG0001772	-		WP_043030268.1	WP_232013905.1
N0.HOG0001822	OG0001773	-		WP_043036457.1	WP_043036457.1
N0.HOG0001823	OG0001774	-		WP_043039136.1	WP_154803733.1
N0.HOG0001824	OG0001775	-		WP_043039144.1	WP_043053257.1
N0.HOG0001825	OG0001776	-		WP_043039979.1	WP_229296803.1
N0.HOG0001826	OG0001777	-		WP_049780515.1	WP_154231301.1
N0.HOG0001827	OG0001778	-		WP_052495596.1	WP_049963518.1
N0.HOG0001828	OG0001779	-		WP_080358081.1	WP_080358081.1
N0.HOG0001829	OG0001780	-		WP_110407997.1	WP_012678836.1
N0.HOG0001830	OG0001781	-		WP_111677677.1	WP_154804209.1
N0.HOG0001831	OG0001782	-		WP_111678597.1	WP_154804351.1
N0.HOG0001832	OG0001783	-		WP_111678599.1	WP_154804350.1
N0.HOG0001833	OG0001784	-		WP_111678604.1	WP_154804343.1
N0.HOG0001834	OG0001785	-		WP_111678608.1	WP_154804342.1
N0.HOG0001835	OG0001786	-		WP_111678864.1	WP_012516309.1
N0.HOG0001836	OG0001787	-		WP_111690002.1	WP_154803999.1
N0.HOG0001837	OG0001788	-		WP_111690003.1	WP_154803998.1
N0.HOG0001838	OG0001789	-		WP_111690004.1	WP_154803997.1
N0.HOG0001839	OG0001790	-		WP_111690007.1	WP_154803993.1
N0.HOG0001840	OG0001791	-		WP_111690008.1	WP_154803992.1
N0.HOG0001841	OG0001792	-		WP_111690574.1	WP_154803646.1
N0.HOG0001842	OG0001793	-		WP_111710202.1	WP_111710202.1
N0.HOG0001843	OG0001794	-		WP_111710204.1	WP_111710204.1
N0.HOG0001844	OG0001795	-		WP_111710206.1	WP_154804165.1
N0.HOG0001845	OG0001796	-		WP_111710208.1	WP_027970834.1
N0.HOG0001846	OG0001797	-		WP_111710210.1	WP_111710210.1
N0.HOG0001847	OG0001798	-		WP_111710212.1	WP_111721622.1
N0.HOG0001848	OG0001799	-		WP_111710214.1	WP_111710214.1
N0.HOG0001849	OG0001800	-		WP_111710217.1	WP_111710217.1
N0.HOG0001850	OG0001801	-		WP_111710219.1	WP_111710219.1
N0.HOG0001851	OG0001802	-		WP_111710221.1	WP_111721624.1
N0.HOG0001852	OG0001803	-		WP_111710223.1	WP_111710223.1
N0.HOG0001853	OG0001804	-		WP_111710225.1	WP_111721625.1
N0.HOG0001854	OG0001805	-		WP_111710227.1	WP_111710227.1
N0.HOG0001855	OG0001806	-		WP_111710233.1	WP_111710233.1
N0.HOG0001856	OG0001807	-		WP_111710244.1	WP_111710244.1
N0.HOG0001857	OG0001808	-		WP_111710245.1	WP_111710245.1
N0.HOG0001858	OG0001809	-		WP_115250549.1, WP_206159057.1	
N0.HOG0001859	OG0001810	-		WP_115251451.1	WP_154804264.1
N0.HOG0001860	OG0001811	-		WP_138119153.1	WP_043052993.1
